instance,algorithm,randomSeed,epsilon,horizon,REG
small_scale,epsilon-greedy,0,0.002,50,18.0
small_scale,epsilon-greedy,0,0.002,200,75.0
small_scale,epsilon-greedy,0,0.002,800,246.0
small_scale,epsilon-greedy,0,0.002,3200,279.0
small_scale,epsilon-greedy,0,0.002,12800,243.0
small_scale,epsilon-greedy,0,0.002,51200,263.0
small_scale,epsilon-greedy,0,0.002,204800,245.0
small_scale,epsilon-greedy,1,0.002,50,23.0
small_scale,epsilon-greedy,1,0.002,200,64.0
small_scale,epsilon-greedy,1,0.002,800,245.0
small_scale,epsilon-greedy,1,0.002,3200,217.0
small_scale,epsilon-greedy,1,0.002,12800,235.0
small_scale,epsilon-greedy,1,0.002,51200,200.0
small_scale,epsilon-greedy,1,0.002,204800,416.0
small_scale,epsilon-greedy,2,0.002,50,16.0
small_scale,epsilon-greedy,2,0.002,200,70.0
small_scale,epsilon-greedy,2,0.002,800,181.0
small_scale,epsilon-greedy,2,0.002,3200,153.0
small_scale,epsilon-greedy,2,0.002,12800,181.0
small_scale,epsilon-greedy,2,0.002,51200,372.0
small_scale,epsilon-greedy,2,0.002,204800,467.0
small_scale,epsilon-greedy,3,0.002,50,21.0
small_scale,epsilon-greedy,3,0.002,200,77.0
small_scale,epsilon-greedy,3,0.002,800,332.0
small_scale,epsilon-greedy,3,0.002,3200,446.0
small_scale,epsilon-greedy,3,0.002,12800,438.0
small_scale,epsilon-greedy,3,0.002,51200,457.0
small_scale,epsilon-greedy,3,0.002,204800,264.0
small_scale,epsilon-greedy,4,0.002,50,22.0
small_scale,epsilon-greedy,4,0.002,200,86.0
small_scale,epsilon-greedy,4,0.002,800,305.0
small_scale,epsilon-greedy,4,0.002,3200,331.0
small_scale,epsilon-greedy,4,0.002,12800,328.0
small_scale,epsilon-greedy,4,0.002,51200,328.0
small_scale,epsilon-greedy,4,0.002,204800,450.0
small_scale,epsilon-greedy,5,0.002,50,14.0
small_scale,epsilon-greedy,5,0.002,200,82.0
small_scale,epsilon-greedy,5,0.002,800,339.0
small_scale,epsilon-greedy,5,0.002,3200,877.0
small_scale,epsilon-greedy,5,0.002,12800,926.0
small_scale,epsilon-greedy,5,0.002,51200,971.0
small_scale,epsilon-greedy,5,0.002,204800,782.0
small_scale,epsilon-greedy,6,0.002,50,25.0
small_scale,epsilon-greedy,6,0.002,200,86.0
small_scale,epsilon-greedy,6,0.002,800,271.0
small_scale,epsilon-greedy,6,0.002,3200,272.0
small_scale,epsilon-greedy,6,0.002,12800,236.0
small_scale,epsilon-greedy,6,0.002,51200,295.0
small_scale,epsilon-greedy,6,0.002,204800,137.0
small_scale,epsilon-greedy,7,0.002,50,26.0
small_scale,epsilon-greedy,7,0.002,200,78.0
small_scale,epsilon-greedy,7,0.002,800,119.0
small_scale,epsilon-greedy,7,0.002,3200,140.0
small_scale,epsilon-greedy,7,0.002,12800,121.0
small_scale,epsilon-greedy,7,0.002,51200,260.0
small_scale,epsilon-greedy,7,0.002,204800,273.0
small_scale,epsilon-greedy,8,0.002,50,26.0
small_scale,epsilon-greedy,8,0.002,200,77.0
small_scale,epsilon-greedy,8,0.002,800,70.0
small_scale,epsilon-greedy,8,0.002,3200,74.0
small_scale,epsilon-greedy,8,0.002,12800,31.0
small_scale,epsilon-greedy,8,0.002,51200,-78.0
small_scale,epsilon-greedy,8,0.002,204800,138.0
small_scale,epsilon-greedy,9,0.002,50,18.0
small_scale,epsilon-greedy,9,0.002,200,75.0
small_scale,epsilon-greedy,9,0.002,800,273.0
small_scale,epsilon-greedy,9,0.002,3200,295.0
small_scale,epsilon-greedy,9,0.002,12800,312.0
small_scale,epsilon-greedy,9,0.002,51200,407.0
small_scale,epsilon-greedy,9,0.002,204800,415.0
small_scale,epsilon-greedy,10,0.002,50,22.0
small_scale,epsilon-greedy,10,0.002,200,79.0
small_scale,epsilon-greedy,10,0.002,800,169.0
small_scale,epsilon-greedy,10,0.002,3200,170.0
small_scale,epsilon-greedy,10,0.002,12800,245.0
small_scale,epsilon-greedy,10,0.002,51200,234.0
small_scale,epsilon-greedy,10,0.002,204800,191.0
small_scale,epsilon-greedy,11,0.002,50,23.0
small_scale,epsilon-greedy,11,0.002,200,80.0
small_scale,epsilon-greedy,11,0.002,800,313.0
small_scale,epsilon-greedy,11,0.002,3200,625.0
small_scale,epsilon-greedy,11,0.002,12800,578.0
small_scale,epsilon-greedy,11,0.002,51200,588.0
small_scale,epsilon-greedy,11,0.002,204800,360.0
small_scale,epsilon-greedy,12,0.002,50,25.0
small_scale,epsilon-greedy,12,0.002,200,83.0
small_scale,epsilon-greedy,12,0.002,800,339.0
small_scale,epsilon-greedy,12,0.002,3200,433.0
small_scale,epsilon-greedy,12,0.002,12800,416.0
small_scale,epsilon-greedy,12,0.002,51200,474.0
small_scale,epsilon-greedy,12,0.002,204800,271.0
small_scale,epsilon-greedy,13,0.002,50,17.0
small_scale,epsilon-greedy,13,0.002,200,77.0
small_scale,epsilon-greedy,13,0.002,800,328.0
small_scale,epsilon-greedy,13,0.002,3200,796.0
small_scale,epsilon-greedy,13,0.002,12800,800.0
small_scale,epsilon-greedy,13,0.002,51200,714.0
small_scale,epsilon-greedy,13,0.002,204800,828.0
small_scale,epsilon-greedy,14,0.002,50,15.0
small_scale,epsilon-greedy,14,0.002,200,84.0
small_scale,epsilon-greedy,14,0.002,800,146.0
small_scale,epsilon-greedy,14,0.002,3200,142.0
small_scale,epsilon-greedy,14,0.002,12800,142.0
small_scale,epsilon-greedy,14,0.002,51200,177.0
small_scale,epsilon-greedy,14,0.002,204800,162.0
small_scale,epsilon-greedy,15,0.002,50,17.0
small_scale,epsilon-greedy,15,0.002,200,77.0
small_scale,epsilon-greedy,15,0.002,800,122.0
small_scale,epsilon-greedy,15,0.002,3200,75.0
small_scale,epsilon-greedy,15,0.002,12800,107.0
small_scale,epsilon-greedy,15,0.002,51200,134.0
small_scale,epsilon-greedy,15,0.002,204800,171.0
small_scale,epsilon-greedy,16,0.002,50,21.0
small_scale,epsilon-greedy,16,0.002,200,28.0
small_scale,epsilon-greedy,16,0.002,800,21.0
small_scale,epsilon-greedy,16,0.002,3200,45.0
small_scale,epsilon-greedy,16,0.002,12800,4.0
small_scale,epsilon-greedy,16,0.002,51200,138.0
small_scale,epsilon-greedy,16,0.002,204800,-116.0
small_scale,epsilon-greedy,17,0.002,50,19.0
small_scale,epsilon-greedy,17,0.002,200,88.0
small_scale,epsilon-greedy,17,0.002,800,329.0
small_scale,epsilon-greedy,17,0.002,3200,705.0
small_scale,epsilon-greedy,17,0.002,12800,701.0
small_scale,epsilon-greedy,17,0.002,51200,796.0
small_scale,epsilon-greedy,17,0.002,204800,914.0
small_scale,epsilon-greedy,18,0.002,50,18.0
small_scale,epsilon-greedy,18,0.002,200,84.0
small_scale,epsilon-greedy,18,0.002,800,315.0
small_scale,epsilon-greedy,18,0.002,3200,338.0
small_scale,epsilon-greedy,18,0.002,12800,322.0
small_scale,epsilon-greedy,18,0.002,51200,229.0
small_scale,epsilon-greedy,18,0.002,204800,356.0
small_scale,epsilon-greedy,19,0.002,50,21.0
small_scale,epsilon-greedy,19,0.002,200,76.0
small_scale,epsilon-greedy,19,0.002,800,316.0
small_scale,epsilon-greedy,19,0.002,3200,1268.0
small_scale,epsilon-greedy,19,0.002,12800,2440.0
small_scale,epsilon-greedy,19,0.002,51200,2434.0
small_scale,epsilon-greedy,19,0.002,204800,2625.0
small_scale,epsilon-greedy,20,0.002,50,24.0
small_scale,epsilon-greedy,20,0.002,200,83.0
small_scale,epsilon-greedy,20,0.002,800,327.0
small_scale,epsilon-greedy,20,0.002,3200,385.0
small_scale,epsilon-greedy,20,0.002,12800,396.0
small_scale,epsilon-greedy,20,0.002,51200,495.0
small_scale,epsilon-greedy,20,0.002,204800,626.0
small_scale,epsilon-greedy,21,0.002,50,20.0
small_scale,epsilon-greedy,21,0.002,200,76.0
small_scale,epsilon-greedy,21,0.002,800,310.0
small_scale,epsilon-greedy,21,0.002,3200,342.0
small_scale,epsilon-greedy,21,0.002,12800,369.0
small_scale,epsilon-greedy,21,0.002,51200,449.0
small_scale,epsilon-greedy,21,0.002,204800,225.0
small_scale,epsilon-greedy,22,0.002,50,18.0
small_scale,epsilon-greedy,22,0.002,200,85.0
small_scale,epsilon-greedy,22,0.002,800,151.0
small_scale,epsilon-greedy,22,0.002,3200,181.0
small_scale,epsilon-greedy,22,0.002,12800,117.0
small_scale,epsilon-greedy,22,0.002,51200,291.0
small_scale,epsilon-greedy,22,0.002,204800,276.0
small_scale,epsilon-greedy,23,0.002,50,19.0
small_scale,epsilon-greedy,23,0.002,200,78.0
small_scale,epsilon-greedy,23,0.002,800,315.0
small_scale,epsilon-greedy,23,0.002,3200,1236.0
small_scale,epsilon-greedy,23,0.002,12800,2686.0
small_scale,epsilon-greedy,23,0.002,51200,2654.0
small_scale,epsilon-greedy,23,0.002,204800,2671.0
small_scale,epsilon-greedy,24,0.002,50,18.0
small_scale,epsilon-greedy,24,0.002,200,70.0
small_scale,epsilon-greedy,24,0.002,800,297.0
small_scale,epsilon-greedy,24,0.002,3200,1225.0
small_scale,epsilon-greedy,24,0.002,12800,1184.0
small_scale,epsilon-greedy,24,0.002,51200,1237.0
small_scale,epsilon-greedy,24,0.002,204800,1332.0
small_scale,epsilon-greedy,25,0.002,50,31.0
small_scale,epsilon-greedy,25,0.002,200,95.0
small_scale,epsilon-greedy,25,0.002,800,111.0
small_scale,epsilon-greedy,25,0.002,3200,106.0
small_scale,epsilon-greedy,25,0.002,12800,101.0
small_scale,epsilon-greedy,25,0.002,51200,110.0
small_scale,epsilon-greedy,25,0.002,204800,142.0
small_scale,epsilon-greedy,26,0.002,50,22.0
small_scale,epsilon-greedy,26,0.002,200,83.0
small_scale,epsilon-greedy,26,0.002,800,343.0
